ProductID;baseprice;WeightType;mass
0;100;e1;0,001
1;100;e1;0,002
2;100;e1;0,005
3;100;e1;0,01
4;100;e1;0,02
5;100;e1;0,05
6;100;e1;0,1
7;100;e1;0,2
8;100;e1;0,5
9;100;e1;1
10;100;e1;2
11;100;e1;5
12;100;e1;10
13;100;e1;20
14;100;e1;50
15;100;e1;100
16;100;e1;200
17;100;e1;500
18;100;e1;1000
19;100;e1;2000
20;100;e1;5000
21;100;e1;10000
22;100;e1;20000
23;100;e1;50000
24;100;e2;0,001
25;100;e2;0,002
26;100;e2;0,005
27;100;e2;0,01
28;100;e2;0,02
29;100;e2;0,05
30;100;e2;0,1
31;100;e2;0,2
32;100;e2;0,5
33;100;e2;1
34;100;e2;2
35;100;e2;5
36;100;e2;10
37;100;e2;20
38;100;e2;50
39;100;e2;100
40;100;e2;200
41;100;e2;500
42;100;e2;1000
43;100;e2;2000
44;100;e2;5000
45;100;e2;10000
46;100;e2;20000
47;100;e2;50000
48;100;f1;0,001
49;100;f1;0,002
50;100;f1;0,005
51;100;f1;0,01
52;100;f1;0,02
53;100;f1;0,05
54;100;f1;0,1
55;100;f1;0,2
56;100;f1;0,5
57;100;f1;1
58;100;f1;2
59;100;f1;5
60;100;f1;10
61;100;f1;20
62;100;f1;50
63;100;f1;100
64;100;f1;200
65;100;f1;500
66;100;f1;1000
67;100;f1;2000
68;100;f1;5000
69;100;f1;10000
70;100;f1;20000
71;100;f1;50000
72;100;f2;0,001
73;100;f2;0,002
74;100;f2;0,005
75;100;f2;0,01
76;100;f2;0,02
77;100;f2;0,05
78;100;f2;0,1
79;100;f2;0,2
80;100;f2;0,5
81;100;f2;1
82;100;f2;2
83;100;f2;5
84;100;f2;10
85;100;f2;20
86;100;f2;50
87;100;f2;100
88;100;f2;200
89;100;f2;500
90;100;f2;1000
91;100;f2;2000
92;100;f2;5000
93;100;f2;10000
94;100;f2;20000
95;100;f2;50000
96;100;f2;100000
97;100;f2;200000
98;100;f2;500000
99;100;f2;1000000
100;100;m1;0,001
101;100;m1;0,002
102;100;m1;0,005
103;100;m1;0,01
104;100;m1;0,02
105;100;m1;0,05
106;100;m1;0,1
107;100;m1;0,2
108;100;m1;0,5
109;100;m1;1
110;100;m1;2
111;100;m1;5
112;100;m1;10
113;100;m1;20
114;100;m1;50
115;100;m1;100
116;100;m1;200
117;100;m1;500
118;100;m1;1000
119;100;m1;2000
120;100;m1;5000
121;100;m1;10000
122;100;m1;20000
123;100;m1;50000
124;100;m1;100000
125;100;m1;200000
126;100;m1;500000
127;100;m1;1000000
128;100;m1;2000000
129;100;m2;0,5
130;100;m2;1
131;100;m2;2
132;100;m2;5
133;100;m2;10
134;100;m2;20
135;100;m2;50
136;100;m2;100
137;100;m2;200
138;100;m2;500
139;100;m2;1000
140;100;m2;2000
141;100;m2;5000
142;100;m2;10000
143;100;m2;20000
144;100;m2;50000
145;100;m2;100000
146;100;m2;200000
147;100;m2;500000
148;100;m2;1000000
149;100;m2;2000000
150;100;m3;1
151;100;m3;2
152;100;m3;5
153;100;m3;10
154;100;m3;20
155;100;m3;50
156;100;m3;100
157;100;m3;200
158;100;m3;500
159;100;m3;1000
160;100;m3;2000
161;100;m3;5000
162;100;m3;10000
163;100;m3;20000
164;100;m3;50000
165;100;m3;100000
166;100;m3;200000
167;100;m3;500000
168;100;m3;1000000
169;100;m3;2000000
